              x              v           E(1)           V(1)           E(2)           V(2)           E(3)           V(3)           E(4)           V(4)           E(5)           V(5)           E(6)           V(6)           E(7)           V(7)           E(8)           V(8)           E(9)           V(9)          E(10)          V(10)
      2.1000000     20.0000000      0.3286450      0.3335926      1.3101616      1.3228513      2.0488309      2.1031650      2.9549028      2.9448890      5.2141415      5.2381718      7.8124505      7.9074229      8.4172404      8.4764611     11.6303715     11.6570185     15.4698859     15.5433768     17.8304225     17.9792973
      2.1250000     20.0000000      0.3286450      0.3338548      1.3101616      1.3231478      2.0488309      2.0980384      2.9549028      2.9434731      5.2141415      5.2393102      7.8124505      7.9024770      8.4172404      8.4686535     11.6303715     11.6604594     15.4698859     15.5449862     17.8304225     17.9707713
      2.1500000     20.0000000      0.3286450      0.3341811      1.3101616      1.3235961      2.0488309      2.0934639      2.9549028      2.9419353      5.2141415      5.2406812      7.8124505      7.8982170      8.4172404      8.4612182     11.6303715     11.6640578     15.4698859     15.5468082     17.8304225     17.9624356
      2.1750000     20.0000000      0.3286450      0.3345755      1.3101616      1.3242012      2.0488309      2.0893902      2.9549028      2.9402595      5.2141415      5.2422975      7.8124505      7.8946102      8.4172404      8.4541012     11.6303715     11.6678323     15.4698859     15.5488480     17.8304225     17.9542789
      2.2000000     20.0000000      0.3286450      0.3350427      1.3101616      1.3249704      2.0488309      2.0857715      2.9549028      2.9384276      5.2141415      5.2441740      7.8124505      7.8916292      8.4172404      8.4472510     11.6303715     11.6718028     15.4698859     15.5511113     17.8304225     17.9462901
      2.2250000     20.0000000      0.3286450      0.3355887      1.3101616      1.3259126      2.0488309      2.0825672      2.9549028      2.9364203      5.2141415      5.2463280      7.8124505      7.8892514      8.4172404      8.4406181     11.6303715     11.6759900     15.4698859     15.5536046     17.8304225     17.9384584
      2.2500000     20.0000000      0.3286450      0.3362200      1.3101616      1.3270387      2.0488309      2.0797415      2.9549028      2.9342160      5.2141415      5.2487794      7.8124505      7.8874586      8.4172404      8.4341545     11.6303715     11.6804159     15.4698859     15.5563350     17.8304225     17.9307733
      2.2750000     20.0000000      0.3286450      0.3369444      1.3101616      1.3283620      2.0488309      2.0772626      2.9549028      2.9317913      5.2141415      5.2515509      7.8124505      7.8862371      8.4172404      8.4278133     11.6303715     11.6851036     15.4698859     15.5593101     17.8304225     17.9232242
      2.3000000     20.0000000      0.3286450      0.3377709      1.3101616      1.3298979      2.0488309      2.0751026      2.9549028      2.9291205      5.2141415      5.2546682      7.8124505      7.8855777      8.4172404      8.4215486     11.6303715     11.6900775     15.4698859     15.5625384     17.8304225     17.9158010
      2.3250000     20.0000000      0.3286450      0.3387096      1.3101616      1.3316644      2.0488309      2.0732374      2.9549028      2.9261749      5.2141415      5.2581599      7.8124505      7.8854753      8.4172404      8.4153151     11.6303715     11.6953638     15.4698859     15.5660291     17.8304225     17.9084935
      2.3500000     20.0000000      0.3286450      0.3397720      1.3101616      1.3336820      2.0488309      2.0716461      2.9549028      2.9229234      5.2141415      5.2620585      7.8124505      7.8859291      8.4172404      8.4090677     11.6303715     11.7009900     15.4698859     15.5697919     17.8304225     17.9012919
      2.3750000     20.0000000      0.3286450      0.3409712      1.3101616      1.3359743      2.0488309      2.0703107      2.9549028      2.9193311      5.2141415      5.2663998      7.8124505      7.8869427      8.4172404      8.4027611     11.6303715     11.7069857     15.4698859     15.5738377     17.8304225     17.8941864
      2.4000000     20.0000000      0.3286450      0.3423220      1.3101616      1.3385682      2.0488309      2.0692163      2.9549028      2.9153599      5.2141415      5.2712241      7.8124505      7.8885237      8.4172404      8.3963497     11.6303715     11.7133821     15.4698859     15.5781777     17.8304225     17.8871673
      2.4250000     20.0000000      0.3286450      0.3438409      1.3101616      1.3414939      2.0488309      2.0683506      2.9549028      2.9109674      5.2141415      5.2765759      7.8124505      7.8906841      8.4172404      8.3897870     11.6303715     11.7202128     15.4698859     15.5828244     17.8304225     17.8802252
      2.4500000     20.0000000      0.3286450      0.3455466      1.3101616      1.3447856      2.0488309      2.0677039      2.9549028      2.9061069      5.2141415      5.2825046      7.8124505      7.8934405      8.4172404      8.3830256     11.6303715     11.7275134     15.4698859     15.5877908     17.8304225     17.8733506
      2.4750000     20.0000000      0.3286450      0.3474602      1.3101616      1.3484818      2.0488309      2.0672690      2.9549028      2.9007266      5.2141415      5.2890651      7.8124505      7.8968138      8.4172404      8.3760166     11.6303715     11.7353222     15.4698859     15.5930910     17.8304225     17.8665343
